Formation,Locality,Unit,Member,Section,Group,Magnetozones,Epoch/Age,Zone,Subdivisions,Sediment,Fauna,OtherInfo,Date,Origination Taxa,Identified Interval Citation,Interval Dating Citation
Ballard,Deer Park,Rexroad Locality 1; KU Locality 25,Missler Member,,,,,,,,Deer Park Local Fauna,,4.9-3 Ma,,"Martin, R.A., Honey, J.G., Peláez-Campomanes, P., Goodwin, H.T., Baskin, J.A. and Zakrzewski, R.J., 2002. Blancan lagomorphs and rodents of the Deer Park assemblages, Meade County, Kansas. Journal of Paleontology, 76(6), pp.1072-1090.,Martin, R.A., Honey, J.G. and Peláez-Camponanes, P., 2000. The Meade Basin rodent project: a progress report.",
Saint David Formation,111 Ranch (Upper),,,,,,,,,,,,2.47-2.17 Ma,,"Galusha, T., Johnson, N.M., Lindsay, E.H., Opdyke, N.D. and Tedford, R.H., 1984. Biostratigraphy and magnetostratigraphy, late Pliocene rocks, 111 Ranch, Arizona. Geological Society of America Bulletin, 95(6), pp.714-722.",
,Haile XVA,,,,,,,,,,,,2.5-2.0 Ma,,"Martin, R.A., 2005. Preliminary correlation of Florida and central Great Plains Pliocene and Pleistocene mammalian local faunas based on rodent biostratigraphy. Cenozoic Vertebrates of the Americas: Papers to Honor S. David Webb. Bulletin of the Florida Museum of Natural History, 45(4), pp.363-367.",
Rexroad Formation,Saw Rock Canyon (Lower),Locality No. 6; XI Ranch,,,,,,,,,Saw Rock Canyon Fauna,,4.8-4.5 Ma,,"Repenning, C.A. and May, S.R., 1986. New evidence for the age of lower part of the Palomas Formation, Truth or Consequences, New Mexico. New Mexico Geological Society Guidebook, 37, pp.257-260.",
Snake Creek Formation,Aphelops Draw Quarries,,Johnson Member,,,,,,,,,,9-6.7 Ma,,"Skinner, M.F., Skinner, S.M. and Gooris, R.J., 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the AMNH; v. 158, article 5.",
,Edson,Edson Beds; North Quarry,,,,,,,,,Edson Quarry Local Fauna,,6.7-4.7 Ma,,"Harrison, J.A., 1983. Carnivora of the Edson Local Fauna (Late Hemphillian), Kansas. Smithsonian Contributions to Paleobiology.",
,Higgins Quarries,Sibbet Ranch; Reed and Longnecker Locs. 124-A and 124-B4,,,,,,,,,Higgins Local Fauna,,9-6.7 Ma,,"Parmley, D., 1988. Early Hemphillian (late Miocene) snakes from the Higgins local fauna of Lipscomb County, Texas. Journal of Vertebrate Paleontology, 8(3), pp.322-327.",
Ogallala,Coffee Ranch,,,,,,,,,,Coffee Ranch,,6.7-6.42 Ma,,"Lukens, W.E., Driese, S.G., Peppe, D.J. and Loudermilk, M., 2017. Sedimentology, stratigraphy, and paleoclimate at the late Miocene Coffee Ranch fossil site in the Texas Panhandle. Palaeogeography, Palaeoclimatology, Palaeoecology, 485, pp.361-376.",
,Honey Creek,UNSM Ht-103,,,,,,,,,,,6.7-4.7 Ma,,"Martin, J.E., 2008. Hemphillian rodents from northern Oregon and their biostratigraphic implications. Paludicola, 6(4), pp.155-190.",
Ash Hollow,Minium Quarry,,,,,,,,,"muddy sandstones,sheet flood sediments",Ogallala Group,,9-8 Ma,,"Darnell, M.K., 2000. Systematics of the Fossil Equidae (Mammalia: Perissodactyla), Minimum Quarry, Graham County, Kansas.",
Ogallala,Optima,OMNH V52; UCMP V-2902,,,,,Late Hemphillian,,,"of gravel, conglomerate, sand, sandstone, silt, clay, with minor amounts of volcanic ash, sub-bentonite and diatomaceous",Optima Fauna,,5.5 Ma,,"Gordon, C.L. and Czaplewski, N.J., 2000. A fossil marmot from the late Miocene of western Oklahoma. Oklahoma Geology Notes, 60(2), pp.28-32.",
,Big Spring Canyon, UCMP V-3322; SDSM V-512; Ed Ross Ranch,,,,,,,,compact fine-grained sand- ston,Big Spring Canyon Fauna/Ogallala Group,,13.6-10 Ma,,PBDB,
Valentine,Devils Gulch Horse Quarry,,,,,,,,,"a fine sand, yellowish to olive drab in color. It is extremely rich in claY (Wellstead, C.F., 1981. Sedimentology of Norden Bridge and Egelhoff fossil quarries (Miocene) of north-central Nebraska.)",,,,,,
Wildcat Hills Beds Formation,Stage Hill I,"upper Arikaree Group""",,,,,,,,"""channel""; sandstone and conglomerate (PBDB)",,,,,"Coombs, M.C. and Coombs Jr, W.P., 1997. Analysis of the geology, fauna, and taphonomy of Morava Ranch Quarry, early Miocene of northwest Nebraska. Palaios, pp.165-187.",
Harrison ,Pine Ridge Escarpment,Eagle Crag Ash,,Eagle Crag Ash,,,,,,massive fine-grained gray sandstone represents a volcaniclastic loess,,,19.7-18.7 Ma,,"Terry, D.O., LaGarry, H.E. and Hunt, R.M. eds., 1998. Depositional environments, lithostratigraphy, and biostratigraphy of the White River and Arikaree Groups (late Eocene to early Miocene, North America) (Vol. 325). Geological Society of America.",
(Sharps Formation,Sharps SDSM V-5354,LACM 1819; St. John's,Upper,,,"C10n,C9r",,Meniscomys,,Brown Siltstone Beds,,,28.3-27.4 Ma,,"Scarpetta, S.G., 2019. Peltosaurus granulosus (Squamata, Anguidae) from the middle Oligocene of Sharps Corner, South Dakota, and the youngest known chronostratigraphic occurrence of Glyptosaurinae. Journal of Vertebrate Paleontology, 39(3), p.e1622129.",
Chadronian,Ahearn,,,,,C15n2,,,,,,,36.2-35.7 Ma,,"Prothero, D.R. and Emry, R.J., 2004. The Chadronian, Orellan, and Whitneyan North American Land Mammal Ages. Late Cretaceous and Cenozoic Mammals of North America. Columbia University Press, New York, pp.156-168.",
Chadron Formation,Chadronia Pocket,,Big Cottonwood Creek Member,,,,,,," ""grey-green... clay-silt"" that includes some solid blocks but is also screenable in part (PBDB)",,,,,,
Renova Formation,Fence Pocket,MV 6103,Climbing Arrow Member,,,,,,,,,,36-35 Ma,,"Prothero, D.R., 1984. Magnetostratigraphy of the early Oligocene Pipestone Springs locality, Jefferson County, Montana. Rocky Mountain Geology, 23(1), pp.33-36.",
Renova Formation,PipeStone Springs,,Climbing Arrow Member,,,Chron 13,,,,volcaniclastic and montmorillonitic pumiceous mudstones and immature vitric siltstone,,,36-35 Ma,,"Prothero, D.R., 1984. Magnetostratigraphy of the early Oligocene Pipestone Springs locality, Jefferson County, Montana. Rocky Mountain Geology, 23(1), pp.33-36.",
Renova Formation,Diamond O Ranch,,Climbing Arrow Member,,,Chron 17n,,,,,,,38-37 Ma,,"Prothero, D.R. and Swisher, C., 1992. Magnetostratigraphy and geochronology of the terrestrial Eocene-Oligocene transition in North America. Unknown Journal, pp.46-73.",
White River Formation,Horsetail Creek,,Horsetail Creek Member,,,Chron C13r,,,,,,,34.7-33.7 Ma,,"Prothero, D.R. and Swisher, C., 1992. Magnetostratigraphy and geochronology of the terrestrial Eocene-Oligocene transition in North America. Unknown Journal, pp.46-73.,Lloyd, K.J., 2007. An investigation and comparison of latest Eocene (Chadronian) mammalian faunas found in the intermontane basins and plains of Colorado (Doctoral dissertation, University of Colorado at Boulder).",
Upper Harrison Formation,,,,,,,,,,,,,18.8-19.2,,"Hunt, R.M., 2002. New amphicyonid carnivorans (Mammalia, Daphoeninae) from the early Miocene of southeastern Wyoming. American Museum Novitates, 2002(3385), pp.1-41.",
Harrison Formation,Sixty Six Mountain,,,,,,,,,massive fine-grained gray sandstone represents a volcaniclastic loess,,,19.7-18.7 Ma,,"Terry, D.O., LaGarry, H.E. and Hunt, R.M. eds., 1998. Depositional environments, lithostratigraphy, and biostratigraphy of the White River and Arikaree Groups (late Eocene to early Miocene, North America) (Vol. 325). Geological Society of America.",
Barstow Formation,,,Middle Member,,,,,,,,,,16.5-15 Ma,,,
Tesuque Formation,,,Skull Ridge Member,,,,,,,,,,16-14.5 Ma,,,
Barstow Formation,Oreodont Quarry,,Lower Member,,,,,,,,,,15.88-15.8 Ma,,,
Barstow Formation,Deep Quarry,,Middle Member,,,,,,,,,,15.4-15.3 Ma,,"Reynolds, R.E. ed., 2013. Raising Questions in the Central Mojave Desert (pp. 99-102). California State University, Desert Studies Consortium and LSA Associates, Incorporated.",
Barstow Formation,Echo Quarry,,Middle Member,,,,,,,,,,15.4-15.3 Ma,,"Reynolds, R.E. ed., 2013. Raising Questions in the Central Mojave Desert (pp. 99-102). California State University, Desert Studies Consortium and LSA Associates, Incorporated.",
Valentine Formation,Burge Quarry,,Burge Member,,,,,,,,,,12 Ma,,"Bryant, J.D., Luz, B. and Froelich, P.N., 1994. Oxygen isotopic composition of fossil horse tooth phosphate as a record of continental paleoclimate. Palaeogeography, Palaeoclimatology, Palaeoecology, 107(3-4), pp.303-316.",
Goliad Formation,"Bridge Ranch, Normanna",,Lapara Member,,,,,,,,,,12 Ma,,"Baskin, J.A. and Hulbert Jr, R.C., 2008. Revised biostratigraphy of the middle Miocene to earliest Pliocene Goliad Formation of South Texas.",
,Edson,,,,,,Middle Pliocene,,,,,,3.5-2.5 Ma,,"Hibbard, C.W., 1934. Two new genera of Felidae from the middle Pliocene of Kansas. Transactions of the Kansas Academy of Science (1903), pp.239-255.","Dowsett, H.J. and Cronin, T.M., 1990. High eustatic sea level during the middle Pliocene: Evidence from the southeastern US Atlantic Coastal Plain. Geology, 18(5), pp.435-438."
Big Sandy Formation,Wikieup,,,,,,Late/Upper Hemphillian,,,,,,6.7-5.6 Ma,,"Dickinson, W.R., 2008. Facies reconnaissance of the upper Miocene Big Sandy Formation near Wikieup, Mohave County, Arizona.",
Fort Logan Formation,Fort Logan,,,,,,Early Miocene(23.3-16.3)-Arikareen (30.8-20.4),,,,,,23.3-20.3 Ma,,"Wolfe, P.E., 1964. Late Cenozoic uplift and exhumed Rocky Mountains of central western Montana. Geological Society of America Bulletin, 75(6), pp.493-502., Nichols, R., 1976. Early Miocene mammals from the Lemhi Valley of Idaho.","https://australian.museum/learn/australia-over-time/evolving-landscape/the-early-miocene-epoch/, Paleobiology Databse"
,Little Muddy Creek (Niobrara County),,,,,,Arikareen (based on taxa ranges),,,,,,30.8-23 Ma,,"Welsh, E., Boyd, C.A., Spearing, K. and Barrett, P.Z., 2015, January. STRATIGRAPHIC AND TAXONOMIC REVISION OF A NORTH AMERICAN FALSE SABER-TOOTHED CAT CUB. In Proceedings of the South Dakota Academy of Science (Vol. 94).",
Wind River Formation,Cooper Lake (UW V-76019),,,,,Chron C24n.lr,Lostcabinian (sub stage),,,,,,57.06-53.49 Ma,,"Clyde, W.C., Stamatakos, J. and Gingerich, P.D., 1994. Chronology of the Wasatchian land-mammal age (early Eocene): magnetostratigraphic results from the McCullough Peaks section, northern Bighorn Basin, Wyoming. The Journal of Geology, 102(4), pp.367-377.","(Chron) Westerhold, T., Röhl, U., Laskar, J., Raffi, I., Bowles, J., Lourens, L.J. and Zachos, J.C., 2007. On the duration of magnetochrons C24r and C25n and the timing of early Eocene global warming events: Implications from the Ocean Drilling Program Leg 208 Walvis Ridge depth transect. Paleoceanography, 22(2)."
Wasatch Formation,Dad,,Niland Tongue Member ,,,Chron C24n.lr,Lostcabinian (sub stage),,,,,,57.06-53.49 Ma,,"Wilf, P., 2000. Late Paleocene–early Eocene climate changes in southwestern Wyoming: Paleobotanical analysis. Geological Society of America Bulletin, 112(2), pp.292-307.","(Chron) Westerhold, T., Röhl, U., Laskar, J., Raffi, I., Bowles, J., Lourens, L.J. and Zachos, J.C., 2007. On the duration of magnetochrons C24r and C25n and the timing of early Eocene global warming events: Implications from the Ocean Drilling Program Leg 208 Walvis Ridge depth transect. Paleoceanography, 22(2)."
Willwood Formation,MP-228 (McCullough Peaks) ,Wa-3,,,,,,,,,,,54.76-54.14 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-211,Wa-2,,,,,,,,,,,55.01-54.51,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-234,Wa-3,,,,,,,,,,,54.76-54.14 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-238,Wa-2/3,,,,,,,,,,,55.01-54.14,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-154,Wa-5,,,,,,,,,,,53.75-53.12 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-16,Wa-5,,,,,,,,,,,53.75-53.12 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-168,Wa-6,,,,,,,,,,,53.32-52.71 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-194,Wa-5,,,,,,,,,,,53.75-53.12 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-203,Wa-3/4,,,,,,,,,,,54.76-53.53 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
Willwood Formation,MP-239,Wa-2/3,,,,,,,,,,,55.01-54.14 Ma,,PBDB,MAMMALIAN BIOSTRATIGRAPHY OF THE McCULLOUGH PEAKS AREA IN THE NORTHERN BIGHORN BASIN
